,movie_name,code,actor1_code,actor2_code
0,택시운전사,20162869,10037018,10080533
1,신과함께-죄와 벌,20150976,10087253,10071209
2,공조,20151228,10088975,10054128
3,스파이더맨: 홈 커밍,20167303,20272630,10016538
4,범죄도시,20172742,10021341,10054204
5,군함도,20161481,10090290,10036685
6,청년경찰,20162442,20211007,20111688
7,더 킹,20151229,10066899,10062025
8,미녀와 야수,20164721,10049635,10010368
9,킹스맨: 골든 서클,20175222,10076631,10069498
10,토르: 라그나로크,20175121,10077282,20172889
11,꾼,20165748,10088975,10054008
12,강철비,20170402,10062025,20127192
13,남한산성,20165450,10055626,10005276
14,미이라,20166488,10081054,20120582
15,분노의 질주: 더 익스트림,20167542,10033301,10013266
16,너의 이름은.,20161872,20115319,20264269
17,슈퍼배드 3,20173403,10039193,10077417
18,아이 캔 스피크,20174142,10006877,10057349
19,캐리비안의 해적: 죽은 자는 말이 없다,20170982,10065531,10073877
20,프리즌,20162181,10087518,10004028
21,덩케르크,20164621,10081106,10024073
22,가디언즈 오브 갤럭시 VOL. 2,20163603,10077262,10065071
23,살인자의 기억법,20154909,10035772,10003788
24,트랜스포머: 최후의 기사,20166967,20112216,10043531
25,보안관,20162722,20110148,10067353
26,조작된 도시,20150964,20187851,10040874
27,보스 베이비,20174061,10044466,10019661
28,재심,20166421,10062023,20111688
29,박열,20178982,10057349,10072221
30,모아나,20165443,10013266,20256929
31,마스터,20161725,10055626,10000558
32,로건,20161827,10090817,10082650
33,원더 우먼,20168261,10000433,10017363
34,겟 아웃,20175262,10074165,10046277
35,혹성탈출: 종의 전쟁,20179901,10046099,10052042
36,1987,20170590,10005276,10087253
37,애나벨 : 인형의 주인,20161081,10090845,10046300
38,노무현입니다,20174602,10008060,
39,저스티스 리그,20168221,10031156,10000433
40,킬러의 보디가드,20171962,10014018,10034095
41,콩: 스컬 아일랜드,20168183,20172889,10032597
42,23 아이덴티티,20170241,10064095,20270149
43,임금님의 사건수첩,20161726,10055970,10043631
44,부라더,20172603,10021341,20186095
45,기억의 밤,20173581,20111688,10004099
46,해피 데스데이,20174622,10063369,20176462
