,movie_code,release,acc_audience_num
0,20176006,2019-02-28,1888
1,19960347,1996-12-07,0
2,20131541,2013-09-25,140350
3,20157587,2015-04-02,31137
4,19998933,해당정보없음,0
5,20182670,2018-12-13,11887
6,20102416,2011-01-20,1888100
7,20218458,2021-07-22,780
8,19920387,1992-12-18,0
9,20190298,해당정보없음,0
10,20174303,해당정보없음,0
11,20100256,2010-05-20,699973
12,19990184,1999-05-01,0
13,20110251,2011-06-23,714102
14,20090804,2009-12-03,347
15,20070545,2007-11-29,350204
16,20090331,2010-04-01,52597
17,20168742,2017-03-22,23338
18,20020204,2002-07-16,0
19,20038281,해당정보없음,0
20,20100209,2010-07-14,3408144
21,20203585,해당정보없음,0
22,20020213,2002-07-26,0
23,20040471,2004-03-12,830000
24,20178982,2017-06-28,2359174
25,20165243,해당정보없음,0
26,20164721,2017-03-16,5138193
27,20038126,해당정보없음,0
28,20020074,2002-02-28,0
29,20100013,2010-02-04,2867
