,movie_code,release,acc_audience_num
0,20101223,2010-12-22,2897477
1,20058582,해당정보없음,0
2,20184543,2019-08-21,1804112
3,20070433,2007-10-03,1239789
4,20000051,2000-12-30,0
5,20194386,해당정보없음,0
6,20194912,해당정보없음,0
7,20134588,2014-12-04,210777
8,20040486,2004-04-01,158727
9,20143511,2015-09-03,441208
10,20030137,2003-09-05,17200
11,20210087,2021-10-20,762511
12,20184134,해당정보없음,0
13,20119717,2011-03-24,73729
14,20060288,2006-10-26,707820
15,20121221,해당정보없음,0
16,20199446,2019-09-25,277319
17,20100377,2010-08-05,1484843
18,19988115,해당정보없음,0
19,20184732,2018-12-06,0
20,20177347,2018-05-31,3043
21,20124066,2012-04-25,1346274
22,20081700,2008-12-10,67267
23,20101149,2010-12-02,5280
24,20050225,2005-09-16,1372700
25,20163661,2016-06-29,858402
26,20060066,2006-03-31,934
27,20048836,해당정보없음,0
28,20080708,2008-06-05,2634
29,19988423,해당정보없음,0
30,20140007,해당정보없음,0
31,20161762,2017-11-29,446780
32,20218689,해당정보없음,0
33,19940005,1994-12-17,0
34,20090580,2009-10-15,215362
35,20183133,2018-07-12,12713
36,19970107,1997-03-01,0
37,20156008,2015-09-25,0
38,20170701,2017-06-01,99
39,20040488,2004-04-30,2050000
40,19840071,1984-02-02,0
41,20172204,2018-09-19,2087474
42,20058701,2013-10-17,19933
43,20100165,2010-04-15,359899
44,20030420,2003-12-31,764567
45,20090308,2009-09-24,1690294
46,20090176,2009-04-02,685746
47,20204271,해당정보없음,0
48,20098163,해당정보없음,0
49,20182754,해당정보없음,0
50,20090426,2009-08-12,464076
51,20081716,2008-12-30,3779553
52,2009A362,2011-03-10,136946
53,20211937,해당정보없음,0
54,20135464,2013-11-21,5115
55,20010020,2001-07-26,0
56,20070421,2007-09-12,1619190
57,20144441,2016-03-03,20163
58,20060037,2006-04-06,43550
59,20157624,2015-04-23,6956
60,20194376,해당정보없음,0
61,20008599,해당정보없음,0
62,20133164,해당정보없음,0
63,20176104,2018-01-17,3418043
64,20080873,2008-07-02,2723518
65,20173612,2017-11-02,26651
66,20168822,2016-10-05,13812
67,20030003,2003-01-30,1545107
68,20142110,2014-10-23,23597
69,20018145,해당정보없음,0
70,20070203,2008-05-29,18533
71,19910221,1991-06-01,0
72,19900194,1990-05-12,0
73,20217845,2021-08-04,419796
74,20126617,2012-06-14,50839
75,20148840,2014-09-04,39091
76,20051240,해당정보없음,0
77,20030107,2003-08-14,719234
78,20154904,해당정보없음,0
79,20060225,2006-08-24,904802
80,20000043,2000-11-11,0
81,19960324,1996-11-16,0
82,20176069,2018-05-03,26921
83,20170670,2018-08-15,2524333
84,20163163,2016-05-25,9717
85,20182490,2019-07-24,958775
86,20147790,2014-03-26,3963220
87,20198317,해당정보없음,0
88,20129166,2012-09-27,266574
89,20101070,2010-11-10,459535
90,20070604,2007-11-22,22921
91,20068064,해당정보없음,0
92,19980025,1998-08-15,0
93,20040615,2004-08-20,620000
94,20140059,해당정보없음,0
95,20078991,해당정보없음,0
96,20184621,2019-07-31,9426051
