,movie_name,code,actor1_code,actor2_code,release,actor_power
0,극한직업,20182530,10019065,20125825,2019-01-23,4539711.875
1,어벤져스: 엔드게임,20184889,10016538,10077150,2019-04-24,9367612.125
2,겨울왕국 2,20197803,10077984,10055204,2019-11-21,9751491.666666666
3,알라딘,20183867,10044943,10052967,2019-05-23,6752496.25
4,기생충,20183782,10037018,10055970,2019-05-30,5109347.0
5,엑시트,20184621,20121022,20224649,2019-07-31,5557060.0
6,스파이더맨: 파 프롬 홈,20196309,20272630,10034095,2019-07-02,3854988.4375
7,백두산,20192206,10055626,10087253,2019-12-19,6686322.1
8,캡틴 마블,20181877,10032597,10034095,2019-03-06,2364987.2666666666
9,조커,20199950,10051376,10043652,2019-10-02,2051487.5714285714
10,봉오동 전투,20184462,10054128,20208626,2019-08-07,4403158.75
11,라이온 킹,20175771,10063250,10033021,2019-07-17,4743184.0
12,나쁜 녀석들: 더 무비,20188750,10021341,10004437,2019-09-11,3943693.6153846155
13,82년생 김지영,20191029,10062071,10001901,2019-10-23,2487030.6666666665
14,분노의 질주: 홉스&쇼,20196850,10013266,10063676,2019-08-14,2211044.5
15,토이 스토리 4,20184047,10081113,10081814,2019-06-20,1387533.6666666667
16,돈,20176103,20208626,10054008,2019-03-20,3128711.153846154
17,악인전,20188941,10021341,10004099,2019-05-15,3666577.3529411764
18,가장 보통의 연애,20195920,10004028,10001919,2019-10-02,1676823.5555555555
19,말모이,20184105,10054128,10054204,2019-01-09,4535884.333333333
20,증인,20185881,10062025,10006228,2019-02-13,4155466.5454545454
21,시동,20198414,10021341,20110693,2019-12-18,3433874.9444444445
22,블랙머니,20195002,10067353,20125825,2019-11-13,3402995.6923076925
23,터미네이터: 다크 페이트,20192083,10025100,10041170,2019-10-30,971695.8
24,사바하,20177539,10057315,20110693,2019-02-20,1858135.5555555555
25,타짜: 원 아이드 잭,20184572,20110693,10019067,2019-09-11,1546814.7142857143
26,신의 한 수: 귀수편,20181434,10002387,10006545,2019-11-07,1301916.5
27,알리타: 배틀 엔젤,20188282,10077744,10082878,2019-02-05,1035368.875
28,내안의 그놈,20176251,10028773,20194921,2019-01-09,1452333.0
29,뺑반,20180868,10001919,20208626,2019-01-30,2634373.0833333335
30,변신,20184543,20136191,10035832,2019-08-21,2371400.5
31,주먹왕 랄프 2: 인터넷 속으로,20189463,10068649,10033911,2019-01-03,887440.0
32,걸캅스,20184082,10013826,20225666,2019-05-09,1323232.25
33,사자,20180442,20211007,10043371,2019-07-31,2220003.25
34,아쿠아맨,20180290,20127372,10049704,2018-12-19,1200957.0
35,드래곤 길들이기 3,20186261,10063418,10041935,2019-01-30,1506942.0
36,나의 특별한 형제,20185784,10040665,20111692,2019-05-01,962215.8333333334
37,어스,20185352,10059402,20271475,2019-03-27,1611792.5
38,말레피센트 2,20191589,10043730,10049256,2019-10-17,321805.3
39,유열의 음악앨범,20181416,20125838,20219146,2019-08-28,752803.25
40,퍼펙트맨,20184483,10035772,10067353,2019-10-02,1741111.4375
41,포드 V 페라리,20192401,10025511,10077325,2019-12-04,509427.85714285716
42,생일,20183096,10035772,10061252,2019-04-03,898955.1428571428
43,"힘을 내요, 미스터 리",20187322,10071140,20307189,2019-09-11,1891328.75
44,항거:유관순 이야기,20196601,10001670,20126450,2019-02-27,294343.0
45,장사리 : 잊혀진 영웅들,20193601,10004060,20209286,2019-09-25,1499331.111111111
46,마이펫의 이중생활 2,20183844,10082756,10075582,2019-07-31,1301238.6
47,롱 리브 더 킹: 목포 영웅,20198453,10004028,20270289,2019-06-19,1361083.25
48,쥬만지: 넥스트 레벨,20198681,10013266,10060900,2019-12-11,1483482.5833333333
49,존 윅 3: 파라벨룸,20196655,10078687,10087875,2019-06-26,969446.0
50,남산의 부장들,20180939,10055626,20110148,2020-01-22,2917515.4615384615
51,다만 악에서 구하소서,20197922,10090290,10057315,2020-08-05,4022159.25
52,반도,20193450,10000558,10057329,2020-07-15,2779621.1666666665
53,히트맨,20192101,10002387,10062240,2020-01-22,2059758.6
54,테넷,20201122,10067623,20111975,2020-08-26,810257.2
55,#살아있다,20193069,10053802,10028892,2020-06-24,1716927.8
56,강철비2: 정상회담,20196271,10062025,20111976,2020-07-29,1804828.5714285714
57,담보,20199816,10035832,10087280,2020-09-29,1310044.857142857
58,닥터 두리틀,20199581,10016538,20272630,2020-01-08,5669986.181818182
59,삼진그룹 영어토익반,20197121,10001670,20110323,2020-10-21,1167710.8
60,정직한 후보,20193321,10013826,10004099,2020-02-12,1370035.2727272727
61,도굴,20192193,10057349,20134255,2020-11-04,2508719.6666666665
62,클로젯,20182447,10087253,10003788,2020-02-05,4503893.181818182
63,오케이 마담,20199883,10047352,10028773,2020-08-12,1422478.0
64,해치지않아,20183002,10043631,20112885,2020-01-15,1138358.8333333333
65,천문: 하늘에 묻는다,20184571,10072251,10087518,2019-12-26,1495565.3333333333
66,결백,20183813,20232987,10030226,2020-06-10,731062.75
67,1917,20192399,10067068,20345735,2020-02-19,438525.0
68,작은 아씨들,20192240,10040143,10049635,2020-02-12,683652.3636363636
69,미드웨이,20196272,10082878,10082678,2019-12-31,1381209.857142857
70,지푸라기라도 잡고 싶은 짐승들,20180962,10061252,10062025,2020-02-19,1553735.2857142857
71,미스터 주: 사라진 VIP,20188421,20110148,10004466,2020-01-22,1911721.8
72,인비저블맨,20199842,10049433,0,2020-02-26,522310.5
73,나쁜 녀석들: 포에버,20196670,10052967,10024676,2020-01-15,2807784.4
74,국제수사,20184482,20127192,20200886,2020-09-29,2242681.5
75,침입자,20197863,20066637,10004099,2020-06-04,1232272.4444444445
76,스타워즈: 라이즈 오브 스카이워커,20195462,10012332,20185628,2020-01-08,365816.0
77,스파이 지니어스,20192300,10052967,20272630,2020-01-22,3288345.0
78,이웃사촌,20181983,10062023,10050151,2020-11-25,930886.0
79,온워드: 단 하루의 기적,20191048,20272630,10077262,2020-06-17,3584812.4615384615
80,소리도 없이,20194424,10053802,20152117,2020-10-15,905402.0
81,버즈 오브 프레이(할리 퀸의 황홀한 해방),20198431,10057917,10025732,2020-02-05,248345.5
82,원더 우먼 1984,20192567,10000433,10077251,2020-12-23,546897.0
83,오! 문희,20193666,10006877,10058320,2020-09-02,2336608.875
84,그린랜드,20204008,10062791,10026215,2020-09-29,638380.7777777778
85,위대한 쇼맨,20179462,10090817,10060933,2017-12-20,675389.6666666666
86,뮬란,20193822,10053827,10056618,2020-09-17,157863.33333333334
87,내가 죽던 날,20190582,10006380,20189363,2020-11-12,2423299.0
88,신비아파트 극장판 하늘도깨비 대 요르문간드,20198374,20238067,20283550,2019-12-19,577864.1666666666
89,프리즌 이스케이프,20207893,10009288,10056554,2020-05-06,82322.16666666667
90,검객,20178401,10060612,20129449,2020-09-23,190237.0
91,조제,20201002,10087751,20279929,2020-12-10,1335326.6
92,사라진 시간,20193859,10067353,10030161,2020-06-18,1872178.0
93,밤쉘: 세상을 바꾼 폭탄선언,20204644,10035154,10008581,2020-07-08,523750.25
