,movie_code,release,acc_audience_num
0,20130561,2014-02-13,781516
1,20050076,2005-05-04,2274995
2,20090904,2010-02-04,5507106
3,20173088,해당정보없음,0
4,20148048,2015-08-05,13414009
5,20090075,2009-06-11,8986
6,20147929,2015-06-25,419
7,20156063,2016-03-03,87328
8,20078371,해당정보없음,0
9,20080450,해당정보없음,0
10,20156553,2015-10-15,50196
11,19940428,1994-12-24,0
12,20010261,2001-10-12,0
13,20200154,해당정보없음,0
14,20156559,2016-05-19,482259
15,20211242,해당정보없음,0
16,19940084,1994-01-22,0
17,20100787,2010-09-16,37086
18,20158984,2016-04-13,445009
19,20080021,2008-02-06,173263
20,20081809,2009-01-08,951855
21,20060155,2006-06-22,66456
22,20170513,2018-11-07,461693
23,19950231,1995-07-01,0
24,20068067,해당정보없음,0
25,20088973,해당정보없음,0
26,20161181,해당정보없음,0
27,20173694,2017-10-19,1028384
28,20058064,해당정보없음,0
29,20071003,2008-01-03,315863
