,movie_code,release,acc_audience_num
0,20119628,2011-06-01,243209
1,19920003,1992-12-25,0
2,19860058,1986-09-17,0
3,19788033,1979-01-19,0
4,20129787,2014-04-10,989881
5,20020232,2002-12-31,0
6,20101392,2011-06-23,52010
7,20174222,2017-11-22,27854
8,20135062,해당정보없음,0
9,20070551,2007-12-18,2979838
10,19970043,1997-03-22,0
11,20161589,2016-10-06,121444
12,19860091,1986-02-08,0
13,19810030,1981-09-12,0
14,20110236,해당정보없음,0
15,20166172,2016-07-21,19287
16,20110185,2011-04-20,1621973
17,20060339,2006-11-30,216876
18,20142301,2014-11-06,102682
19,20119427,2011-02-24,217077
20,20177603,해당정보없음,0
21,20088402,해당정보없음,0
22,20190002,2019-07-24,191122
23,20198461,해당정보없음,0
24,20010013,2001-09-28,0
25,20211792,해당정보없음,0
26,20201965,해당정보없음,0
27,20050345,2006-01-12,1016152
28,20215843,2021-02-24,147443
29,20050045,2005-05-27,1143136
30,20090319,2009-07-09,443462
31,19990073,1999-06-26,0
32,20162722,2017-05-03,2588617
33,20028736,해당정보없음,0
34,20129388,2012-12-19,918299
35,20070111,2007-05-01,488221
36,20008076,해당정보없음,0
37,20090174,2009-03-26,208094
38,19920355,1992-11-28,0
39,20090931,2010-04-28,1407681
40,20137082,2013-05-09,41480
41,20144641,2016-12-07,4583645
42,19940033,1994-07-23,0
43,20040448,2004-02-27,79650
44,20080653,2008-06-05,4673009
45,20138882,2013-06-27,12545
46,20081056,2008-08-06,4087355
47,20175484,2017-11-01,2958
48,20126091,2013-09-11,9134586
49,20120381,2013-04-25,68711
50,20134803,2013-12-18,11374610
51,20156564,2016-07-20,11565479
52,20000009,2000-07-29,0
53,20177266,2018-04-19,140975
54,20020090,2002-04-11,0
55,20170655,해당정보없음,0
56,20101344,2011-03-03,20885
57,19998621,해당정보없음,0
58,20136443,해당정보없음,0
59,20080654,2008-05-22,122410
60,20153521,2015-09-03,16667
61,20180962,2020-02-19,627247
62,20182352,2018-04-12,540596
63,20176083,2018-03-08,14002
64,20100353,2010-07-01,1030285
65,19990067,1999-10-02,2310000
66,20133943,2013-01-08,40
67,19950005,1995-09-30,0
68,20167246,해당정보없음,0
69,20189463,2019-01-03,1758891
70,20130329,2013-08-28,200
71,20157582,해당정보없음,0
72,20197863,2020-06-04,532045
73,20149271,2014-07-03,42335
74,20160041,2016-09-13,27070
75,20125106,2012-04-05,33683
76,20058757,해당정보없음,0
77,20090311,2009-12-03,1046787
78,20040672,2004-12-03,114478
79,20068754,해당정보없음,0
80,20121622,2013-01-03,46812
81,20185985,2019-08-21,637021
82,20051240,해당정보없음,0
83,19980283,1998-12-24,0
84,20000294,2000-11-17,0
85,20195002,2019-11-13,2479664
86,20119515,2011-07-20,2945137
87,20100300,2010-08-26,133079
88,20124011,2012-02-23,51151
89,20211382,해당정보없음,0
90,20182447,2020-02-05,1270835
91,20111893,2011-09-22,165123
92,20110314,2011-05-19,5741
93,20136782,2013-04-11,16912
94,20030439,2004-01-30,137413
95,19860014,1986-03-15,0
96,20150977,2016-02-17,848148
97,20101028,2010-10-28,12082
98,20000178,2000-06-03,0
99,20110303,2011-09-07,700272
100,20078589,해당정보없음,0
101,20170670,2018-08-15,2524333
102,20090667,2009-10-28,132657
103,20217335,해당정보없음,0
104,19920153,1992-03-25,0
105,20154661,2016-11-23,2982022
106,20098095,해당정보없음,0
107,19920259,1992-08-01,0
108,20060208,2006-07-27,31654
109,20211177,해당정보없음,0
110,20090159,2009-06-18,1071
111,20081391,2008-10-16,532324
112,20124381,2012-03-01,1501
113,20050205,2005-08-25,262893
114,20070205,2007-06-21,1408882
115,20058692,해당정보없음,0
116,20000056,2000-12-09,0
117,20158670,2015-05-14,62016
118,20210303,2021-12-01,406
119,20168124,해당정보없음,0
120,20122843,2013-02-27,315305
121,19980025,1998-08-15,0
122,20164096,해당정보없음,0
123,20030077,2003-06-13,552041
124,20155626,해당정보없음,0
125,20070367,2007-08-15,1095119
126,20156969,2015-08-06,5205
127,20136060,2014-03-13,526547
128,20142321,2014-11-13,43613
129,20000228,2000-09-01,0
130,20167383,2017-01-05,0
131,20090501,2009-09-09,97787
132,19960018,1996-09-21,0
133,20128687,2012-12-19,1160021
134,20166101,2017-02-22,276379
135,2010A759,해당정보없음,0
136,20138461,2013-11-21,1327
137,20159644,2016-07-06,2051277
138,20133942,2013-01-09,35
139,20184483,2019-10-02,1240022
140,20090157,2009-03-19,726998
141,20177744,해당정보없음,0
142,20124034,2012-07-25,12983330
143,20189869,2018-11-15,27046
144,20020265,2002-10-24,0
145,20050112,2005-06-24,921300
146,20124944,2012-03-15,1890
147,19970200,1997-07-12,0
148,19940188,1994-05-14,0
149,20159643,2016-03-24,189345
150,20000313,2000-12-08,0
151,20138962,2014-05-01,765713
152,20088449,해당정보없음,0
153,19990059,1999-11-13,1230000
154,20119527,2011-05-26,61414
155,20081718,2008-12-24,150401
156,20040625,2004-08-06,520753
157,20020120,2002-04-19,0
158,20151229,2017-01-18,5316325
159,20018518,해당정보없음,0
160,20008551,해당정보없음,0
161,20060292,2006-10-19,1744677
162,20179101,2018-08-08,4974512
163,20142855,2015-10-08,1128288
164,20161366,2017-02-15,46623
165,20166468,2017-02-28,94750
166,20204271,해당정보없음,0
167,20173881,2017-04-27,13035
168,20136460,해당정보없음,0
169,20080268,2008-08-28,45290
170,20078373,해당정보없음,0
171,20000022,2000-03-18,0
172,20129046,2012-09-20,12685
173,20124721,2012-04-26,7074867
174,20068639,해당정보없음,0
175,20048582,해당정보없음,0
176,20070550,2007-12-12,2215883
177,20199581,2020-01-08,1607082
178,19950001,1995-09-08,0
179,20215830,해당정보없음,0
180,20147790,2014-03-26,3963220
181,20030062,2003-05-16,87064
182,20098365,해당정보없음,0
183,20173612,2017-11-02,26651
184,20183096,2019-04-03,1196694
185,20080743,2008-12-03,286657
186,20188941,2019-05-15,3364360
187,20197922,2020-08-05,4357803
188,20157432,2015-11-11,1820842
