,movie_code,release,acc_audience_num
0,20124350,2012-05-31,30590
1,20121282,해당정보없음,0
2,20090051,2009-07-15,1799356
3,20150976,2017-12-20,14410754
4,20126407,2012-11-29,1075584
5,20029130,해당정보없음,0
6,20110027,2011-01-20,34269
7,20058316,해당정보없음,0
8,20100813,2010-09-16,583183
9,20090067,2009-02-19,8569
10,20166362,2016-08-03,15201
11,20120798,2009-07-09,0
12,20060384,2006-01-13,0
13,19980003,1999-01-01,0
14,19960038,1996-07-13,0
15,20148460,2016-08-17,147031
16,20090093,1998-10-03,0
17,20124401,2013-02-21,4682492
18,20123381,2013-10-02,1209363
19,20179189,2018-10-03,3789321
20,20176122,2018-09-19,5440186
21,20153083,2015-12-03,100785
22,20000005,2000-09-09,0
23,20124933,2012-08-08,11418
24,20000015,2000-04-01,0
25,20102415,2011-01-27,1717566
26,20208911,해당정보없음,0
27,19940120,1994-03-12,0
28,20100380,2010-07-21,707748
29,20078369,해당정보없음,0
