,movie_code,release,acc_audience_num
0,20124350,2012-05-31,30590
1,20121282,해당정보없음,0
2,20090051,2009-07-15,1799356
3,20150976,2017-12-20,14410754
4,20126407,2012-11-29,1075584
5,20029130,해당정보없음,0
6,20110027,2011-01-20,34269
7,20058316,해당정보없음,0
8,20100813,2010-09-16,583183
9,20090067,2009-02-19,8569
10,20166362,2016-08-03,15201
11,20120798,2009-07-09,0
12,20060384,2006-01-13,0
13,19980003,1999-01-01,0
14,19960038,1996-07-13,0
15,20148460,2016-08-17,147031
16,20090093,1998-10-03,0
17,20124401,2013-02-21,4682492
18,20123381,2013-10-02,1209363
19,20179189,2018-10-03,3789321
20,20176122,2018-09-19,5440186
21,20153083,2015-12-03,100785
22,20000005,2000-09-09,0
23,20124933,2012-08-08,11418
24,20000015,2000-04-01,0
25,20102415,2011-01-27,1717566
26,20208911,해당정보없음,0
27,19940120,1994-03-12,0
28,20100380,2010-07-21,707748
29,20078369,해당정보없음,0
30,20080934,2008-06-29,215
31,20080937,해당정보없음,0
32,20040490,2004-06-03,3006400
33,20119341,2011-02-17,1867849
34,20191029,2019-10-23,3679019
35,20000056,2000-12-09,0
36,20175162,해당정보없음,0
37,20174652,해당정보없음,0
38,20144444,2016-06-01,4287839
39,20208446,해당정보없음,0
40,20164928,2017-01-11,35881
41,20110657,2011-07-27,645191
42,20142402,2015-05-21,1110246
43,20121923,2012-12-06,11199
44,20156744,해당정보없음,0
45,20038993,해당정보없음,0
46,19998036,해당정보없음,0
47,20156250,2016-07-27,7049643
48,20218203,해당정보없음,0
49,20123483,2013-01-31,35328
50,20170590,2017-12-27,7231638
51,20160864,해당정보없음,0
52,20127593,2013-01-23,12811206
53,20090218,해당정보없음,0
54,20160881,2017-01-12,7761
55,20163961,2016-07-13,66473
56,20112762,2011-11-10,424002
57,20018559,해당정보없음,0
58,20161921,2016-03-24,34295
59,20124034,2012-07-25,12983330
60,20060040,2006-03-01,341242
61,20165001,2017-08-24,103054
62,20126091,2013-09-11,9134586
63,20101004,2010-10-21,45896
64,20110221,2011-05-04,1277690
65,20200846,2020-07-01,4117
66,20060562,해당정보없음,0
67,20192662,해당정보없음,0
68,20050326,2005-12-14,4094395
69,20124054,2012-10-31,6654837
70,20070303,2007-08-15,182050
71,20136865,2014-01-16,17977
72,20101028,2010-10-28,12082
73,20191143,해당정보없음,0
74,20210600,2021-11-18,67087
75,20020139,2002-05-16,0
76,20198317,해당정보없음,0
77,20124079,2012-09-13,12319542
78,20124080,2012-08-08,790181
79,20050356,2006-01-13,12621
80,20129216,해당정보없음,0
81,20090311,2009-12-03,1046787
82,20161481,2017-07-26,6592151
83,20100046,2010-12-30,7070
84,20145103,2015-02-26,55892
